Id,m,tempA,chuvaA,bilro,Producao
1,10,24.95,172.7,1.15,682.45
2,11,25.22,77.7,0.29,1720.97
3,12,25.81,22.4,2.74,16289.83
4,1,25.93,194.1,3.2,18989.96
5,2,26.07,159.8,1.21,7180.58
6,3,25.99,126.2,2.77,16467.86
7,4,25.25,209.2,3.77,22372.55
8,5,24.24,63.5,6.57,39018.43
9,6,21.88,53.7,3.37,19998.8
10,7,21.5,262.5,1.13,6705.83
11,8,21.08,113.2,0.17,1008.84
12,9,22.12,82,0.3,1780.31
13,10,24.01,134.1,0.14,1039.28
14,11,24.79,118.1,0.06,445.4
15,12,25.32,149.4,1.01,7534.76
16,1,25.07,147.8,2.04,15143.76
17,2,25.16,66.6,3.28,24348.8
18,3,25.55,241.8,2.25,16739.8
19,4,24.76,265.4,1.5,11135.12
20,5,23.32,111.6,1.05,7831.7
21,6,22.18,65.1,1.97,14624.12
22,7,21.17,188.6,1.89,14030.25
23,8,21.73,92.6,0.2,1484.68
24,9,21.23,61.5,0.15,1113.51
25,10,23.56,255.7,0.3,1201.43
26,11,23.46,178.9,0.56,2251.82
27,12,24.31,127.3,2.92,11636.7
28,1,24.56,154,6.78,26980.66
29,2,24.02,154.8,6.19,24632.73
30,3,24.49,150.2,7.03,27989.86
31,4,24.27,58.5,5.48,21790.49
32,5,22.45,117.4,3.46,13758.08
33,6,22.46,127.1,1.6,6371.01
34,7,21.47,94.4,5.51,21920.93
35,8,20.95,230.2,3.61,14348.5
36,9,22.34,34.4,0.55,2210.63
37,10,23,134.7,0.41,1834.89
38,11,24.55,130.1,0.59,2689.01
39,12,25.04,17.2,2.04,9226.42
40,1,25.56,199.1,3.17,14328.39
41,2,25.12,229,1.42,6430.24
42,3,25.62,51.1,3.9,17611.71
43,4,24.5,108.7,3.56,16069.1
44,5,23.57,72.3,5.47,24691.47
45,6,22.75,241.9,4.12,18582.74
46,7,21.99,128.2,1.91,8625.61
47,8,21.62,125.1,1.62,7307.09
48,9,22.64,158.5,1.17,5283.85
49,10,23.58,119.3,0.39,1647.11
50,11,24.38,377,0.15,647.25
51,12,25.61,112.1,1.26,5301.18
52,1,25.23,193.3,5.11,21436.56
53,2,25.36,127.3,7.01,29372.63
54,3,25.27,242,6.77,28375.19
55,4,25.27,30.5,4.9,20542.97
56,5,24,114.2,3.24,13594.68
57,6,22.62,185.7,2.26,9457.59
58,7,22.22,217.7,2.11,8846.57
59,8,21.72,38.3,1.48,6221.34
60,9,22.67,90.1,1.3,5472.65
61,10,23.68,112.7,0.77,2883.49
62,11,24.54,152.8,0.66,2465.47
63,12,24.7,315.4,3.5,12971.44
64,1,25.16,99.8,9.64,35715.19
65,2,25.5,114.8,6.7,24821.05
66,3,25.79,80.3,4.13,15153.26
67,4,25.36,42.5,2.72,10083.69
68,5,24.64,67.4,2.32,8612.08
69,6,22.36,361.4,2.28,8458.52
70,7,21.57,179.5,4.03,14910.12
71,8,21.45,131.4,2.79,10343.88
72,9,23.24,216.5,1.27,4717.66
73,10,24.44,168.4,0.12,404.82
74,11,26.07,61.6,0.43,1427.22
75,12,26.51,187.1,2.46,8062.49
76,1,26.73,9.5,1.44,4718.5
77,2,26.7,70.6,1.5,5008.46
78,3,26.85,91.1,1.8,5887.77
79,4,25.22,66,1.08,3524.75
80,5,24.03,35.8,4.53,14829.56
81,6,23.31,180.5,8.29,27102.18
82,7,22.11,131.2,2.1,6857.45
83,8,22.18,51.9,3.23,10566.72
84,9,22.5,216.5,5.03,16430.01
85,10,24.32,168.4,1.43,5063.04
86,11,24.82,61.6,1.24,4402.82
87,12,25.81,67.3,1.02,3630.18
88,1,26.04,90.1,1.54,5486.15
